T
4.30,20031
4.71,20078
5.15,20140
5.61,20171
6.07,20218
6.55,20280
7.01,20327
7.48,20390
7.97,20436
8.47,20483
9.00,20530
9.55,20577
10.10,20624
10.70,20670
11.30,20733
11.90,20780
12.53,20842
13.15,20873
13.80,20920
14.47,20982
15.09,21029
15.30,21076
15.13,21138
15.00,21185
14.90,21232
14.82,21279
14.74,21326
14.62,21372
14.14,21419
13.26,21482
12.26,21528
11.27,21591
10.37,21622
9.47,21669
8.67,21731
7.95,21778
7.28,21825
6.62,21887
6.02,21934
5.43,21981
4.88,22028
4.40,22074
3.93,22121
3.51,22168
3.10,22215
2.72,22277
2.39,22340
2.09,22371
1.79,22418
1.53,22480
1.29,22527
1.09,22558
0.90,22620
0.74,22683
0.60,22730
0.48,22776
0.38,22823
0.30,22870
0.25,22932
0.19,22964
0.14,23042
0.11,23088
0.08,23120
0.05,23182
0.03,23229
0.02,23276
0.00,23322
0.01,23369
0.02,23432
0.00,23478
0.00,23525
0.02,23572
0.06,23619
0.11,23681
0.18,23712
0.25,23759
0.35,23822
0.47,23868
0.61,23931
0.77,23978
0.97,24024
1.19,24071
1.45,24118
1.72,24165
2.01,24227
2.31,24274
2.65,24321
3.01,24368
3.40,24414
3.80,24461
4.21,24508
4.61,24570
5.04,24617
5.50,24680
5.95,24726
6.44,24773
6.93,24820
7.43,24867
7.93,24914
8.44,24976
8.94,25023
9.51,25070
10.07,25132
10.69,25163
11.31,25210
11.95,25272
12.59,25319
13.25,25382
13.91,25428
14.59,25475
15.19,25522
15.19,25569
15.04,25616
14.94,25662
14.85,25709
14.75,25772
14.45,25818
13.64,25881
12.65,25912
11.67,25959
10.71,26021
9.85,26068
9.06,26130
8.31,26177
7.60,26224
6.95,26271
6.32,26318
5.73,26364
5.16,26411
4.61,26458
4.12,26520
3.66,26567
3.24,26614
2.84,26661
2.49,26708
2.17,26770
1.87,26817
1.60,26848
1.35,26926
1.14,26973
0.93,27020
0.76,27066
0.61,27113
0.49,27160
0.38,27207
0.29,27254
0.23,27332
0.17,27363
0.12,27410
0.08,27472
0.05,27519
0.02,27566
0.02,27612
0.04,27675
0.04,27722
0.05,27768
0.08,27815
0.15,27862
0.25,27909
0.34,27956
0.47,28002
0.63,28080
0.81,28112
1.03,28158
1.28,28221
1.55,28268
1.84,28299
2.16,28361
2.47,28408
2.84,28470
3.22,28517
3.59,28564
3.99,28611
4.40,28658
4.85,28704
5.31,28751
5.75,28798
6.24,28860
6.73,28907
7.19,28970
7.69,29016
8.20,29048
8.72,29110
9.28,29157
9.85,29219
10.45,29266
11.06,29313
11.67,29360
12.31,29406
12.96,29453
13.59,29500
14.27,29562
14.93,29609
15.27,29672
15.14,29718
15.03,29765
14.94,29812
14.85,29859
14.69,29906
14.13,29952
13.22,30015
12.22,30062
11.25,30108
10.31,30155
9.43,30202
8.66,30249
7.91,30311
7.21,30358
6.55,30420
5.93,30467
5.34,30498
4.78,30561
4.27,30608
3.80,30654
3.37,30701
2.95,30764
2.58,30810
2.26,30857
1.93,30904
1.65,30951
1.39,30998
1.15,31060
0.95,31091
0.77,31169
0.62,31216
0.49,31247
0.38,31310
0.29,31356
0.23,31403
0.17,31450
0.12,31497
0.08,31559
0.05,31606
0.03,31653
0.03,31700
0.05,31762
0.06,31809
0.07,31840
0.12,31902
0.21,31965
0.32,32012
0.45,32058
0.62,32105
0.80,32152
1.03,32199
1.28,32246
1.56,32308
1.85,32355
2.19,32402
2.54,32448
2.89,32511
3.28,32558
3.66,32589
4.07,32651
4.52,32698
4.96,32760
5.41,32807
5.89,32854
6.36,32901
6.85,32948
7.37,32994
7.88,33041
8.43,33104
9.00,33150
9.57,33197
10.17,33260
10.78,33291
11.40,33338
12.02,33400
12.63,33447
13.21,33509
13.89,33556
14.56,33603
15.21,33650
15.31,33696
15.16,33743
15.05,33790
14.95,33852
14.62,33899
13.83,33962
12.86,34009
11.85,34040
10.91,34102
10.03,34149
9.18,34196
8.40,34258
7.68,34305
7.00,34352
6.34,34399
5.72,34445
5.16,34492
4.61,34539
4.14,34601
3.69,34648
3.26,34711
2.84,34757
2.49,34789
2.17,34851
1.86,34898
1.57,34945
1.32,34991
1.09,35054
0.90,35101
0.73,35147
0.58,35194
0.45,35241
0.35,35288
0.26,35350
0.20,35413
0.15,35459
0.10,35491
0.06,35537
0.03,35600
0.03,35647
0.04,35693
0.05,35740
0.06,35803
0.11,35849
0.19,35896
0.30,35943
0.43,35990
0.59,36052
0.77,36083
1.01,36130
1.27,36208
1.56,36239
1.88,36302
2.21,36349
2.55,36395
2.91,36442
3.30,36489
3.70,36536
4.10,36598
4.53,36645
4.97,36692
5.43,36739
5.92,36801
6.41,36832
6.87,36879
7.38,36957
7.89,36988
8.42,37051
8.96,37097
9.52,37144
10.15,37191
10.78,37238
11.44,37285
12.08,37347
12.77,37394
13.44,37441
14.10,37487
14.83,37550
15.34,37581
15.27,37628
15.13,37690
15.02,37753
14.90,37799
14.45,37846
13.58,37893
12.58,37940
11.57,37987
10.62,38033
9.73,38080
8.89,38143
8.16,38189
7.44,38252
6.77,38283
6.13,38330
5.54,38392
4.97,38439
4.44,38501
3.97,38548
3.50,38595
3.08,38642
2.69,38689
2.32,38735
2.01,38782
1.71,38829
1.43,38891
1.19,38938
0.97,39001
0.77,39032
0.61,39079
0.48,39141
0.36,39188
0.27,39235
0.21,39297
0.15,39344
0.10,39391
0.06,39437
0.05,39484
0.07,39531
0.08,39578
0.09,39625
0.10,39703
0.17,39749
0.26,39781
0.40,39827
0.56,39890
0.76,39937
0.99,39968
1.25,40046
1.54,40093
1.86,40139
2.19,40186
2.54,40233
2.92,40280
3.30,40342
3.71,40373
4.14,40451
4.56,40483
5.01,40529
5.48,40592
5.95,40639
6.45,40685
6.95,40732
7.44,40779
7.99,40841
8.57,40888
9.14,40935
9.74,40982
10.34,41029
10.97,41075
11.66,41122
12.30,41169
12.97,41231
13.65,41278
14.31,41341
15.00,41387
15.33,41434
15.21,41481
15.09,41528
15.00,41590
14.89,41637
14.43,41684
13.51,41731
12.52,41777
11.52,41824
10.56,41871
9.67,41918
8.84,41980
8.10,42043
7.40,42089
6.74,42136
6.12,42167
5.51,42230
4.94,42277
4.39,42323
3.91,42386
3.45,42433
3.04,42479
2.65,42542
2.29,42573
1.97,42620
1.68,42682
1.39,42729
1.17,42791
0.94,42838
0.76,42885
0.60,42932
0.47,42979
0.36,43025
0.27,43072
0.21,43135
0.15,43181
0.10,43228
0.06,43275
0.06,43322
0.08,43369
0.09,43431
0.10,43478
0.10,43540
0.11,43587
0.16,43634
0.26,43681
0.40,43727
0.56,43774
0.76,43821
0.99,43868
1.27,43930
1.55,43993
1.87,44024
2.22,44071
2.57,44117
2.94,44180
3.33,44227
3.74,44258
4.17,44336
4.61,44383
5.04,44429
5.53,44476
6.02,44523
6.52,44570
7.02,44617
7.53,44663
8.08,44741
8.66,44773
9.23,44819
9.88,44882
10.47,44929
11.10,44960
11.77,45022
12.42,45085
13.07,45131
13.76,45178
14.44,45225
15.07,45272
15.34,45319
15.21,45365
15.10,45412
15.01,45490
14.94,45521
14.86,45568
14.64,45631
13.97,45677
13.00,45709
12.02,45771
11.03,45818
10.11,45880
9.25,45927
8.46,45974
7.74,46021
7.05,46067
6.45,46114
5.83,46161
5.24,46208
4.69,46270
4.18,46333
3.73,46379
3.28,46426
2.86,46457
2.49,46520
2.15,46567
1.83,46629
1.55,46676
1.28,46723
1.05,46769
0.85,46816
0.69,46863
0.54,46910
0.42,46972
0.32,47019
0.24,47081
0.17,47128
0.12,47175
0.08,47222
0.06,47269
0.08,47315
0.09,47362
0.10,47425
0.11,47471
0.12,47518
0.14,47565
0.21,47612
0.34,47659
0.49,47721
0.68,47752
0.90,47830
1.15,47877
1.42,47908
1.73,47971
2.05,48017
2.39,48064
2.75,48111
3.12,48173
3.52,48220
3.95,48283
4.39,48314
4.83,48361
5.34,48407
5.84,48470
6.33,48501
6.84,48579
7.33,48626
7.87,48673
8.42,48719
8.98,48766
9.58,48813
10.19,48860
10.81,48907
11.47,48969
12.14,49016
12.78,49063
13.46,49109
14.16,49172
14.89,49219
15.32,49250
15.25,49312
15.14,49375
15.05,49421
14.98,49468
14.91,49515
14.86,49562
14.81,49609
14.74,49655
14.54,49718
13.88,49765
12.92,49811
11.93,49858
10.99,49921
10.11,49967
9.28,49999
8.47,50061
7.73,50108
7.03,50170
6.36,50217
5.74,50264
5.16,50311
4.61,50357
4.08,50404
3.60,50451
3.16,50513
2.76,50560
2.38,50623
2.04,50669
1.74,50701
1.47,50747
1.22,50810
1.00,50857
0.79,50919
0.63,50966
0.49,51013
0.38,51059
0.28,51106
0.21,51153
0.15,51200
0.10,51262
0.06,51309
0.06,51371
0.08,51418
0.09,51449
0.10,51512
0.15,51559
0.25,51605
0.39,51668
0.55,51715
0.76,51761
0.99,51808
1.27,51855
1.56,51902
1.87,51949
2.23,52011
2.59,52058
2.96,52120
3.35,52167
3.75,52198
4.17,52261
4.63,52307
5.09,52354
5.57,52401
6.06,52463
6.57,52510
7.07,52557
7.62,52604
8.14,52651
8.69,52697
9.28,52760
9.87,52822
10.47,52869
11.10,52900
11.75,52963
12.41,53009
13.06,53056
13.79,53103
14.53,53150
15.18,53212
15.32,53259
15.19,53306
15.09,53353
15.01,53399
14.89,53462
14.40,53493
13.53,53540
12.53,53618
11.55,53649
10.62,53711
9.70,53758
8.86,53805
8.09,53852
7.36,53899
6.68,53945
6.04,54008
5.41,54055
4.86,54101
4.35,54148
3.85,54211
3.39,54242
2.97,54289
2.58,54367
2.21,54398
1.89,54460
1.61,54507
1.33,54554
1.11,54601
0.89,54647
0.72,54694
0.57,54757
0.42,54803
0.32,54850
0.25,54913
0.18,54959
0.12,54991
0.08,55037
0.05,55100
0.06,55162
0.08,55209
0.09,55256
0.10,55303
0.17,55349
0.28,55396
0.43,55443
0.61,55490
0.81,55552
1.06,55599
1.31,55661
1.62,55693
1.94,55739
2.28,55802
2.63,55849
3.00,55911
3.39,55958
3.81,56005
4.24,56051
4.69,56098
5.17,56145
5.66,56192
6.15,56239
6.66,56301
7.18,56348
7.74,56410
8.32,56441
8.89,56488
9.50,56551
10.14,56597
10.78,56644
11.44,56707
12.13,56753
12.80,56800
13.47,56847
14.17,56894
14.85,56941
15.34,56987
15.29,57034
15.17,57112
15.08,57159
14.99,57190
14.74,57253
14.00,57299
13.06,57346
12.05,57377
11.08,57455
10.19,57502
9.33,57549
8.52,57596
7.78,57643
7.07,57689
6.41,57752
5.81,57783
5.21,57861
4.65,57892
4.12,57939
3.66,58001
3.20,58048
2.80,58095
2.43,58142
2.09,58189
1.78,58251
1.49,58298
1.23,58345
1.00,58391
0.80,58438
0.64,58485
0.50,58532
0.37,58579
0.28,58641
0.21,58688
0.14,58750
0.09,58797
0.07,58844
0.08,58891
0.10,58937
0.11,59000
0.15,59047
0.25,59093
0.39,59140
0.57,59203
0.77,59234
1.02,59281
1.30,59327
1.59,59390
1.92,59452
2.26,59499
2.61,59546
2.99,59593
3.38,59639
3.81,59686
4.27,59733
4.71,59795
5.20,59842
5.71,59889
6.21,59951
6.73,59983
7.28,60029
7.82,60092
8.37,60139
8.92,60201
9.53,60248
10.15,60295
10.77,60341
11.41,60388
12.09,60435
12.75,60482
13.43,60544
14.15,60591
14.87,60638
15.35,60685
15.28,60731
15.17,60778
